year,profession,sex,count
56,fisher,M,28
56,fisher,X,2
56,homemaker,F,29
56,homemaker,M,31
56,homemaker,X,3
56,retired,F,17
56,retired,M,20
56,retired,X,3
56,service provider,F,16
56,service provider,M,18
56,service provider,X,1
56,unemployed,F,6
56,unemployed,M,6
56,unemployed,X,1
57,child,F,74
57,child,M,67
57,child,X,4
57,civil servant,F,13
57,civil servant,M,11
57,craftsman,F,21
57,craftsman,M,26
57,craftsman,X,3
57,farmer,F,23
57,farmer,M,25
57,fisher,F,30
57,fisher,M,27
57,fisher,X,2
57,homemaker,F,28
57,homemaker,M,26
57,homemaker,X,3
57,retired,F,34
57,retired,M,35
57,retired,X,6
57,service provider,F,14
57,service provider,M,18
57,service provider,X,1
57,unemployed,F,7
57,unemployed,M,6
57,unemployed,X,1
58,child,F,71
58,child,M,68
58,child,X,4
58,civil servant,F,13
58,civil servant,M,11
58,craftsman,F,20
58,craftsman,M,25
58,craftsman,X,3
58,farmer,F,26
58,farmer,M,25
58,fisher,F,31
58,fisher,M,27
58,fisher,X,2
58,homemaker,F,28
58,homemaker,M,26
58,homemaker,X,3
58,retired,F,36
58,retired,M,34
58,retired,X,5
58,service provider,F,14
58,service provider,M,18
58,service provider,X,1
58,unemployed,F,6
58,unemployed,M,7
58,unemployed,X,1
59,child,F,70
59,child,M,66
59,child,X,4
59,civil servant,F,12
59,civil servant,M,11
59,craftsman,F,20
59,craftsman,M,24
59,craftsman,X,3
59,farmer,F,26
59,farmer,M,26
59,fisher,F,32
59,fisher,M,27
59,fisher,X,2
59,homemaker,F,27
59,homemaker,M,27
59,homemaker,X,3
59,retired,F,36
59,retired,M,34
59,retired,X,3
59,service provider,F,16
59,service provider,M,18
59,service provider,X,1
59,unemployed,F,7
59,unemployed,M,7
59,unemployed,X,1
60,child,F,67
60,child,M,66
60,child,X,4
60,civil servant,F,12
60,civil servant,M,11
60,craftsman,F,21
60,craftsman,M,24
60,craftsman,X,3
60,farmer,F,27
60,farmer,M,28
60,fisher,F,30
60,fisher,M,26
60,fisher,X,2
60,homemaker,F,30
60,homemaker,M,27
60,homemaker,X,2
60,retired,F,37
60,retired,M,32
60,retired,X,4
60,service provider,F,16
60,service provider,M,19
60,service provider,X,1
60,unemployed,F,8
60,unemployed,M,7
60,unemployed,X,1
61,child,F,68
61,child,M,63
61,child,X,4
61,civil servant,F,12
61,civil servant,M,11
61,craftsman,F,22
61,craftsman,M,23
61,craftsman,X,3
61,farmer,F,26
61,farmer,M,28
61,fisher,F,31
61,fisher,M,27
61,fisher,X,2
61,homemaker,F,29
61,homemaker,M,29
61,homemaker,X,2
61,retired,F,37
61,retired,M,35
61,retired,X,4
61,service provider,F,16
61,service provider,M,18
61,service provider,X,1
61,unemployed,F,8
61,unemployed,M,8
61,unemployed,X,1
62,child,F,65
62,child,M,65
62,child,X,4
62,civil servant,F,12
62,civil servant,M,11
62,craftsman,F,23
62,craftsman,M,24
62,craftsman,X,3
62,farmer,F,26
62,farmer,M,28
62,fisher,F,31
62,fisher,M,27
62,fisher,X,2
62,homemaker,F,30
62,homemaker,M,29
62,homemaker,X,2
62,retired,F,34
62,retired,M,35
62,retired,X,3
62,service provider,F,16
62,service provider,M,18
62,service provider,X,1
62,unemployed,F,8
62,unemployed,M,8
62,unemployed,X,1
63,child,F,64
63,child,M,64
63,child,X,4
63,civil servant,F,12
63,civil servant,M,12
63,craftsman,F,22
63,craftsman,M,24
63,craftsman,X,3
63,farmer,F,26
63,farmer,M,28
63,fisher,F,33
63,fisher,M,27
63,fisher,X,2
63,homemaker,F,30
63,homemaker,M,32
63,homemaker,X,2
63,retired,F,35
63,retired,M,35
63,retired,X,3
63,service provider,F,16
63,service provider,M,17
63,service provider,X,1
63,unemployed,F,8
63,unemployed,M,8
63,unemployed,X,1
64,child,F,66
64,child,M,58
64,child,X,5
64,civil servant,F,12
64,civil servant,M,13
64,craftsman,F,23
64,craftsman,M,24
64,craftsman,X,3
64,farmer,F,27
64,farmer,M,30
64,fisher,F,33
64,fisher,M,27
64,fisher,X,2
64,homemaker,F,30
64,homemaker,M,32
64,homemaker,X,2
64,retired,F,33
64,retired,M,33
64,retired,X,3
64,service provider,F,16
64,service provider,M,18
64,service provider,X,1
64,unemployed,F,8
64,unemployed,M,8
64,unemployed,X,1
65,child,F,61
65,child,M,60
65,child,X,6
65,civil servant,F,11
65,civil servant,M,13
65,craftsman,F,23
65,craftsman,M,24
65,craftsman,X,3
65,farmer,F,29
65,farmer,M,29
65,fisher,F,35
65,fisher,M,28
65,fisher,X,2
65,homemaker,F,31
65,homemaker,M,32
65,homemaker,X,2
65,retired,F,31
65,retired,M,31
65,retired,X,1
65,service provider,F,15
65,service provider,M,19
65,service provider,X,1
65,unemployed,F,9
65,unemployed,M,8
65,unemployed,X,1
66,child,F,57
66,child,M,63
66,child,X,5
66,civil servant,F,11
66,civil servant,M,13
66,craftsman,F,25
66,craftsman,M,24
66,craftsman,X,3
66,farmer,F,27
66,farmer,M,31
66,fisher,F,36
66,fisher,M,28
66,fisher,X,2
66,homemaker,F,30
66,homemaker,M,32
66,homemaker,X,3
66,retired,F,32
66,retired,M,27
66,retired,X,1
66,service provider,F,17
66,service provider,M,19
66,service provider,X,1
66,unemployed,F,9
66,unemployed,M,8
66,unemployed,X,1
67,child,F,56
67,child,M,64
67,child,X,4
67,civil servant,F,12
67,civil servant,M,13
67,craftsman,F,26
67,craftsman,M,25
67,craftsman,X,2
67,farmer,F,27
67,farmer,M,34
67,fisher,F,38
67,fisher,M,29
67,fisher,X,3
67,homemaker,F,27
67,homemaker,M,30
67,homemaker,X,3
67,retired,F,32
67,retired,M,26
67,retired,X,2
67,service provider,F,17
67,service provider,M,19
67,service provider,X,1
67,unemployed,F,9
67,unemployed,M,8
67,unemployed,X,1
68,child,F,54
68,child,M,65
68,child,X,3
68,civil servant,F,11
68,civil servant,M,13
68,craftsman,F,26
68,craftsman,M,23
68,craftsman,X,2
68,farmer,F,29
68,farmer,M,34
68,fisher,F,39
68,fisher,M,30
68,fisher,X,4
68,homemaker,F,28
68,homemaker,M,30
68,homemaker,X,3
68,retired,F,27
68,retired,M,26
68,retired,X,2
68,service provider,F,18
68,service provider,M,19
68,service provider,X,1
68,unemployed,F,9
68,unemployed,M,9
68,unemployed,X,1
69,child,F,56
69,child,M,61
69,child,X,3
69,civil servant,F,12
69,civil servant,M,15
69,craftsman,F,26
69,craftsman,M,23
69,craftsman,X,2
69,farmer,F,29
69,farmer,M,35
69,fisher,F,38
69,fisher,M,30
69,fisher,X,4
69,homemaker,F,28
69,homemaker,M,30
69,homemaker,X,3
69,retired,F,27
69,retired,M,24
69,retired,X,1
69,service provider,F,18
69,service provider,M,18
69,service provider,X,1
69,unemployed,F,9
69,unemployed,M,11
69,unemployed,X,1
70,child,F,51
70,child,M,64
70,child,X,3
70,civil servant,F,12
70,civil servant,M,16
70,craftsman,F,26
70,craftsman,M,23
70,craftsman,X,2
70,farmer,F,29
70,farmer,M,33
70,fisher,F,37
70,fisher,M,31
70,fisher,X,4
70,homemaker,F,29
70,homemaker,M,30
70,homemaker,X,3
70,retired,F,24
70,retired,M,23
70,retired,X,1
70,service provider,F,20
70,service provider,M,18
70,service provider,X,1
70,unemployed,F,12
70,unemployed,M,11
